1043374545|$30.00|$30.00|0
1043397459|$99.99|$99.99|0
1043402767|$4.00|$4.00|1
1043402785|$3.50|$3.50|0
1043495702|$28.00|$9.99|6
1043506302|$6.00|$6.00|0
1043562035|$15.00|$15.00|0
1043565691|$24.95|$24.95|0
1043608482|$7.95|$7.95|0
1043650580|$24.99|$24.99|0
1043747228|$19.95|$19.95|0
1043749860|$197.50|$0.99|12
1043817906|$6.00|$6.00|1
1043899828|$19.90|$19.90|1
1043930362|$11.99|$11.99|1
1043937480|$9.98|$9.98|0
1043987329|$9.99|$9.99|0
1044027229|$9.99|$9.99|1
1044042244|$47.99|$14.99|8
1044078197|$6.99|$6.99|1
1044100897|$60.00|$60.00|0
1044104207|$17.50|$17.50|0
1044107651|$14.39|$3.00|5
1044123448|$9.00|$9.00|0
1044154993|$9.00|$9.00|0
1044160600|$5.50|$5.50|1
1044214000|$10.00|$10.00|1
1044269494|$3.50|$3.50|0
1044271868|$9.99|$9.99|0
1044279832|$29.99|$29.99|1
1044285284|$3.50|$3.50|0
1044297318|$2.00|$2.00|0
1044300051|$1.25|$1.00|2
1044334640|$5.00|$5.00|0
1044348163|$32.50|$32.50|1
1044361617|$41.00|$14.95|2
1044363196|$39.00|$19.99|6
1044367519|$115.00|$115.00|0
1044387921|$795.00|$795.00|1
1044389855|$4.99|$4.99|1
1044392363|$33.90|$33.90|0
1044407002|$199.99|$199.99|0
1044412792|$15.50|$1.00|7
1044417566|$13.00|$13.00|1
1044429906|$3.05|$3.05|0
1044448350|$1.50|$1.50|0
1044458000|$24.00|$24.00|0
1044517180|$9.95|$9.95|0
1044520426|$36.00|$9.99|7
1044521948|$6.99|$6.99|0
1044527090|$6.99|$6.99|0
1044553439|$15.00|$15.00|0
1044575304|$34.50|$34.50|1
1044583004|$4.00|$4.00|0
1044589232|$0.99|$0.99|0
1044589406|$4.99|$4.99|1
1044638123|$8.50|$8.50|0
1044638749|$308.03|$150.00|8
1044650862|$9.00|$9.00|0
1044652547|$7.00|$7.00|0
1044670345|$10.50|$5.00|2
1044677094|$2.75|$2.75|0
1044682407|$26.00|$9.00|4
1044688877|$5.00|$5.00|0
1044689408|$11.60|$11.60|0
1044698086|$24.99|$24.99|0
1044704534|$6.00|$6.00|0
1044707198|$61.10|$3.00|22
1044709075|$15.00|$15.00|0
1044725095|$99.99|$99.99|0
1044730246|$45.00|$45.00|1
1044731826|$16.75|$15.00|3
1044753275|$7.00|$7.00|0
1044760560|$15.00|$15.00|0
1044766839|$185.00|$185.00|0
1044769132|$19.00|$19.00|0
1044771169|$12.95|$12.95|1
1044772419|$9.95|$9.95|0
1044774869|$7.50|$7.50|1
1044780959|$1.00|$1.00|0
1044789966|$7.95|$7.95|0
1044790001|$9.50|$9.50|0
1044790439|$9.60|$8.95|2
1044797607|$24.99|$24.99|0
1044804097|$4.50|$4.50|0
1044808556|$9.99|$9.99|1
1044809898|$8.99|$8.99|1
1044813117|$9.99|$9.99|0
